id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
cografya-9-9_1_1,1,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.1,Doğa ve insan etkileşimini örneklerle açıklar.,a) Dünyadan ve Türkiye'den örnekler verilir. b) Doğa-insan etkileşiminde insanların doğaya karşı göstermesi gereken duyarlılığa yer verilir.,"Kazanımın odağı, öğrencinin doğa ve insan etkileşimini örneklerle açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",doğa; insan; etkileşimini; örneklerle
cografya-9-9_1_2,2,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.2,Coğrafyanın konularını ve bölümlenmesini açıklar.,Coğrafyanın ilişkili olduğu disiplinlere yer verilir.,"Kazanımın odağı, öğrencinin coğrafyanın konularını ve bölümlenmesini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",coğrafyanın; konularını; bölümlenmesini
cografya-9-9_1_3,3,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.3,Coğrafya biliminin gelişimini açıklar.,a) Coğrafya biliminin önemine değinilir. b) Coğrafya biliminin gelişimine katkı sağlayan Türk ve Müslüman bilim insanlarının çalışmalarına da yer verilir.,"Kazanımın odağı, öğrencinin coğrafya biliminin gelişimini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",coğrafya; biliminin; gelişimini
cografya-9-9_1_4,4,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.4,Dünya’nın şekli ve hareketlerinin etkilerini değerlendirir.,Dünya’nın Güneş Sistemi içindeki yerine kısaca değinilir. DOĞAL SİSTEMLER,"Kazanımın odağı, öğrencinin dünya’nın şekli ve hareketlerinin etkilerini değerlendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",dünya’nın; şekli; hareketlerinin; etkilerini
cografya-9-9_1_5,5,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.5,Koordinat sistemini kullanarak zaman ve yere ait özellikler hakkında çıkarımlarda bulunur.,a) Mutlak ve göreceli konum kavramlarına yer verilir. b) Türkiye’nin konumuna yer verilir.,"Kazanımın odağı, öğrencinin koordinat sistemini kullanarak zaman ve yere ait özellikler hakkında çıkarımlarda bulunur. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",koordinat; sistemini; kullanarak; zaman; yere; özellikler; çıkarımlarda; bulunur
cografya-9-9_1_6,6,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.6,Haritayı oluşturan unsurlardan yararlanarak harita kullanır.,a) Harita Projeksiyonlarına yer verilir. b) Farklı harita türlerine ve kullanım amaçlarına yer verilir. c) Ölçek ile uzunluk ve alan ilişkilerinde basit örneklere yer verilir. Alan hesaplamalarında sadece gerçek alan hesaplamalarına yer verilir.,"Kazanımın odağı, öğrencinin haritayı oluşturan unsurlardan yararlanarak harita kullanır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",haritayı; oluşturan; unsurlardan; yararlanarak; harita
cografya-9-9_1_7,7,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.7,Bilgileri haritalara aktarmada kullanılan yöntem ve teknikleri açıklar.,"a) Haritacılık tarihinde önemli olan Türk ve Müslüman bilim insanları ve çalışmaları üzerinde durulur. b) Coğrafi Bilgi Sistemlerine (CBS) ve uzaktan algılama tekniklerine yer verilir. c) Mekânsal verilerin haritaya aktarımında nokta, çizgi ve alansal gösterimlerden yararlanılması sağlanır.","Kazanımın odağı, öğrencinin bilgileri haritalara aktarmada kullanılan yöntem ve teknikleri açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",bilgileri; haritalara; aktarmada; kullanılan; yöntem; teknikleri
cografya-9-9_1_8,8,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.8,Haritalarda yer şekillerinin gösteriminde kullanılan yöntem ve teknikleri açıklar.,a) Eş yükselti eğrilerinin özelliklerine yer verilir. b) Eş yükselti eğrileri ile çizilmiş haritalar üzerinde yer şekillerinin ayırt edilmesine yer verilir. c) Haritalarda yer şekillerini gösterme yöntemlerinden renklendirme ve kabartma yöntemlerine yer verilir.,"Kazanımın odağı, öğrencinin haritalarda yer şekillerinin gösteriminde kullanılan yöntem ve teknikleri açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",haritalarda; şekillerinin; gösteriminde; kullanılan; yöntem; teknikleri
cografya-9-9_1_9,9,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.9,Atmosferin katmanları ve özellikleri ile hava olaylarını ilişkilendirir.,,"Kazanımın odağı, öğrencinin atmosferin katmanları ve özellikleri ile hava olaylarını ilişkilendirir. hedefidir.",atmosferin; katmanları; özellikleri; hava; olaylarını
cografya-9-9_1_10,10,COĞRAFYA,9,,,9. SINIF COĞRAFYA DERSİ ÖĞRETİM PROGRAMI,9.1.10,Örneklerden yararlanarak hava durumu ile iklim özelliklerini etkileri açısından karşılaştırır.,,"Kazanımın odağı, öğrencinin örneklerden yararlanarak hava durumu ile iklim özelliklerini etkileri açısından karşılaştırır. hedefidir.",örneklerden; yararlanarak; hava; durumu; iklim; özelliklerini; etkileri; açısından
