id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
matematik-9-9_1_1_1,1,MATEMATİK,9,Mantık,Önermeler ve Bileşik Önermeler,,9.1.1.1,"Önermeyi, önermenin doğruluk değerini, iki önermenin denkliğini ve önermenin değilini açıklar.",Boole ve Leibniz’in çalışmalarına yer verilir.,"Kazanımın odağı, öğrencinin önermeyi, önermenin doğruluk değerini, iki önermenin denkliğini ve önermenin değilini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",önermeler; bileşik; önermeyi; önermenin; doğruluk; değerini; denkliğini; değilini
matematik-9-9_1_1_2,2,MATEMATİK,9,Mantık,Önermeler ve Bileşik Önermeler,,9.1.1.2,"Bileşik önermeyi örneklerle açıklar, ‘‘ve, veya, ya da’’ bağlaçları ile kurulan bileşik önermelerin özelliklerini ve De Morgan kurallarını doğruluk tablosu kullanarak gösterir.",,"Kazanımın odağı, öğrencinin bileşik önermeyi örneklerle açıklar, ‘‘ve, veya, ya da’’ bağlaçları ile kurulan bileşik önermelerin özelliklerini ve De Morgan kurallarını doğruluk tablosu kullanarak gösterir. hedefidir.",önermeler; bileşik; önermeyi; örneklerle; veya; bağlaçları; kurulan; önermelerin
matematik-9-9_1_1_3,3,MATEMATİK,9,Mantık,Önermeler ve Bileşik Önermeler,,9.1.1.3,Koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar.,"a) Koşullu önermenin karşıtı, tersi, karşıt tersi verilir. b) 𝑝𝑝 ⇒ 𝑞𝑞 ≡ 𝑝𝑝′ ∨ 𝑞𝑞 olduğu doğruluk tablosu yardımıyla gösterilir. c) ‘‘ ve, veya, ya da, ise’’ bağlaçları kullanılarak verilen, en fazla üç önerme içeren ve en fazla dört bileşenli bileşik önermelere denk basit önermeler buldurulur. ç) 𝑝𝑝 ⇔ 𝑞𝑞 ≡ (𝑝𝑝 ⇒ 𝑞𝑞) ∧ (𝑞𝑞 ⇒ 𝑝𝑝) olduğu doğruluk tablosu ile gösterilir.","Kazanımın odağı, öğrencinin koşullu önermeyi ve iki yönlü koşullu önermeyi açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",önermeler; bileşik; koşullu; önermeyi; yönlü; mantık
matematik-9-9_1_1_4,4,MATEMATİK,9,Mantık,Önermeler ve Bileşik Önermeler,,9.1.1.4,Her (∀) ve bazı (∃) niceleyicilerini örneklerle açıklar.,"Sözel olarak verilen ve niceleyici içeren açık önermeler, sembolik mantık diliyle; sembolik mantık diliyle verilen ve niceleyici içeren açık önermeler de sözel olarak ifade edilir.","Kazanımın odağı, öğrencinin her (∀) ve bazı (∃) niceleyicilerini örneklerle açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",önermeler; bileşik; bazı; niceleyicilerini; örneklerle; mantık
matematik-9-9_1_1_5,5,MATEMATİK,9,Mantık,Önermeler ve Bileşik Önermeler,,9.1.1.5,"Tanım, aksiyom, teorem ve ispat kavramlarını açıklar.",Bir teoremin hipotezi ve hükmü belirtilir.,"Kazanımın odağı, öğrencinin tanım, aksiyom, teorem ve ispat kavramlarını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",önermeler; bileşik; tanım; aksiyom; teorem; ispat; kavramlarını; mantık
matematik-9-9_2_1_1,6,MATEMATİK,9,Kümeler,Kümelerde Temel Kavramlar,,9.2.1.1,Kümeler ile ilgili temel kavramlar hatırlatılır.,a) Kümelerle ilgili gerçek hayattan örneklere yer verilir. b) Kümelerin farklı gösterimlerine yer verilir. c) Cantor’un çalışmalarına yer verilir.,"Kazanımın odağı, öğrencinin kümeler ile ilgili temel kavramlar hatırlatılır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kümelerde; temel; kavramlar; kümeler; hatırlatılır
matematik-9-9_2_1_2,7,MATEMATİK,9,Kümeler,Kümelerde Temel Kavramlar,,9.2.1.2,Alt kümeyi kullanarak işlemler yapar.,a) Alt küme kavramı ve özellikleri ele alınır. b) Alt küme kavramıyla ilgili gerçek hayattan örneklere yer verilir. c) Kombinasyon gerektiren problemlere girilmez.,"Kazanımın odağı, öğrencinin alt kümeyi kullanarak işlemler yapar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kümelerde; temel; kavramlar; kümeyi; kullanarak; işlemler; kümeler
matematik-9-9_2_1_3,8,MATEMATİK,9,Kümeler,Kümelerde Temel Kavramlar,,9.2.1.3,İki kümenin eşitliğini kullanarak işlemler yapar.,a) İki kümenin eşitliği kavramı alt küme ile ilişkilendirilir. b) Denk küme kavramı verilmez.,"Kazanımın odağı, öğrencinin i̇ki kümenin eşitliğini kullanarak işlemler yapar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kümelerde; temel; kavramlar; i̇ki; kümenin; eşitliğini; kullanarak; işlemler
matematik-9-9_2_2_1,9,MATEMATİK,9,Kümeler,Kümelerde İşlemler,,9.2.2.1,"Kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer.","a) Kümelerin birleşim, kesişim, fark ve tümleme işlemlerinin özellikleri verilir. b) Ayrık küme kavramına yer verilir. c) En fazla üç kümenin birleşiminin eleman sayısını veren ilişkiler üzerinde durulur. ç) Kümelerle yapılan işlemler ve sembolik mantıkta kullanılan sembol, gösterim ve bunlarla ifade edilen işlemler arasında aşağıdaki ilişkilendirmeler yapılır. Sembolik Mantık 0 1 ∨ ∧ ′ ≡ Kümeler ∅ 𝐸𝐸 ∪ ∩ ′ = Sembolik Mantık Kümeler 𝑝𝑝 ∨ 𝑝𝑝′ ≡ 1 𝐴𝐴 ∪ 𝐴𝐴′ = 𝐸𝐸 𝑝𝑝 ∧ 𝑝𝑝′ ≡ 0 𝐴𝐴 ∩ 𝐴𝐴′ = ∅ 𝑝𝑝 ∧ (𝑞𝑞 ∨ 𝑟𝑟) ≡ (𝑝𝑝 ∧ 𝑞𝑞) ∨ (𝑝𝑝 ∧ 𝑟𝑟) 𝐴𝐴 ∩ (𝐵𝐵 ∪ 𝐶𝐶) = (𝐴𝐴 ∩ 𝐵𝐵) ∪ (𝐴𝐴 ∩ 𝐶𝐶) (𝑝𝑝 ∧ 𝑞𝑞)′ ≡ 𝑝𝑝′ ∨ 𝑞𝑞′ (𝐴𝐴 ∩ 𝐵𝐵)′ = 𝐴𝐴′ ∪ 𝐵𝐵′ d) Gerçek hayat problemlerine yer verilir.","Kazanımın odağı, öğrencinin kümelerde birleşim, kesişim, fark, tümleme işlemleri yardımıyla problemler çözer. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kümelerde; i̇şlemler; birleşim; kesişim; tümleme; işlemleri; yardımıyla; problemler
matematik-9-9_2_2_2,10,MATEMATİK,9,Kümeler,Kümelerde İşlemler,,9.2.2.2,İki kümenin kartezyen çarpımıyla ilgili işlemler yapar.,a) Sıralı ikili ve sıralı ikililerin eşitliği örneklerle açıklanır. b) Kartezyen çarpımın eleman sayısı buldurulur. c) Sadece sonlu sayıda elemanı olan kümelerin kartezyen çarpımlarının grafik çizimi yapılır.,"Kazanımın odağı, öğrencinin i̇ki kümenin kartezyen çarpımıyla ilgili işlemler yapar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kümelerde; i̇şlemler; i̇ki; kümenin; kartezyen; çarpımıyla; işlemler; kümeler
