id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
turk_dili_ve_edebiyati-ort-A_1_1,1,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.1,Metinde geçen kelime ve kelime gruplarının anlamlarını tespit eder.,Öğrencilerin bilmediği kelime ve kelime gruplarının anlamını metindeki bağlamından hareketle tahmin etmesi ve tahminini kaynaklardan yararlanarak kontrol etmesi sağlanır.,"Kazanımın odağı, öğrencinin metinde geçen kelime ve kelime gruplarının anlamlarını tespit eder. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",metinde; geçen; kelime; gruplarının; anlamlarını; tespit
turk_dili_ve_edebiyati-ort-A_1_2,2,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.2,Şiirin temasını belirler.,"Tematik bütünlüğü olmayan şiirlerde (genellikle gazel, koşma vb.) birden çok temanın bir arada bulunabileceği göz önünde tutulmalıdır. Bu durum aynı zamanda türün/dönemin/anlayışın bir özelliğini gösterebilir.","Kazanımın odağı, öğrencinin şiirin temasını belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirin; temasını
turk_dili_ve_edebiyati-ort-A_1_3,3,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.3,Şiirde ahengi sağlayan özellikleri/unsurları belirler.,"a. Şiirde ahenk unsurları (ölçü, kafiye, redif, nakarat; ses, kelime ve kelime grubu tekrarı, ses akışı vb.) üzerinde durulur. b. Hece ölçüsünde hece sayısı eşitliğinin, aruz ölçüsünde hecelerin açık-kapalı (uzun-kısa) oluşunun esas alındığı üzerinde durulur. Ancak aruz kalıplarına ve şiirde aruz ölçüsünü buldurmaya yönelik çalışmalara yer verilmez. c. Şiirin ahenk ve şekil özelliklerinin -varsa- içerikle ilişkisi üzerinde durulur. Bazı şiirlerde ölçü ve kafiye seçimi, kelimelerin düzenlenişi, dizelerin uzunluğu-kısalığı vb. aracılığıyla içeriğin görsel olarak şiirin şekline yansıtıldığı ve/veya ahenk özelliklerinin içerikle bağlantılı olduğu belirtilir.","Kazanımın odağı, öğrencinin şiirde ahengi sağlayan özellikleri/unsurları belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirde; ahengi; sağlayan; özellikleri; unsurları
turk_dili_ve_edebiyati-ort-A_1_4,4,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.4,Şiirin nazım biçimini ve nazım türünü tespit eder.,"a. Şiirin nazım biçimi belirlenirken nazım birimi, kafiye düzeni, ölçü gibi şekil özelliklerinin; nazım türü belirlenirken içeriğin (konu, tema vb.) esas alındığı vurgulanır. b. Divan, halk ve dünya şiirinden gelen biçim ve türler ile şaire özgü yenilikler, buluşlar ve - varsa- bunların geleneksel biçim ve türlerle ilişkisi ele alınır. c. Metne/döneme göre konu bakımından lirik, epik, pastoral, satirik, didaktik şiir türlerine değinilir.","Kazanımın odağı, öğrencinin şiirin nazım biçimini ve nazım türünü tespit eder. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirin; nazım; biçimini; türünü; tespit
turk_dili_ve_edebiyati-ort-A_1_5,5,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.5,"Şiirdeki mazmun, imge ve edebî sanatları belirleyerek bunların anlama katkısını değerlendirir.","a. 9. sınıfta şiirde öne çıkan, dikkat çeken ve/veya yaygın olarak bilinen edebî sanatlar (teşbih, istiare, mecazımürsel, teşhis ve intak, tenasüp, tezat, telmih, hüsnütalil, tecahüliarif, kinaye, tevriye, tariz, irsalimesel, mübalağa) ele alınır. b. Şiirdeki bütün edebî sanatların tespiti yoluna gidilmez. c. 10, 11 ve 12. sınıflarda şiirde öne çıkan edebî sanatları buldurmaya yönelik çalışma yapılması sağlanır.","Kazanımın odağı, öğrencinin şiirdeki mazmun, imge ve edebî sanatları belirleyerek bunların anlama katkısını değerlendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirdeki; mazmun; imge; edeb; sanatları; belirleyerek; bunların; anlama
turk_dili_ve_edebiyati-ort-A_1_6,6,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.6,Şiirde söyleyici ile hitap edilen kişi/varlık arasındaki ilişkiyi belirler.,"a. Şiirde konuşanın şair değil şiirde konuşan kurgusal kişilik/varlık olduğu, söyleyicinin şiirin içeriğine ve aksettirdiği ruh durumuna göre karakter ve ""ses"" kazandığı, bu durumun şiiri okuma tonuna/tarzına, şiirin anlamına etkide bulunduğu ve okuma faaliyetinde okuyucunun bu söyleyiciyle özdeşleştiği vurgulanır. b. Söyleyicinin genel okuyucuya, bir kişi, grup veya varlığa seslenme durumuna göre muhatabı belirlenir.","Kazanımın odağı, öğrencinin şiirde söyleyici ile hitap edilen kişi/varlık arasındaki ilişkiyi belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirde; söyleyici; hitap; edilen; kişi; varlık; arasındaki; ilişkiyi
turk_dili_ve_edebiyati-ort-A_1_7,7,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.7,"Şiirde millî, manevi ve evrensel değerler ile sosyal, siyasi, tarihî ve mitolojik ögeleri belirler.","a. Şiirde şiirin yazıldığı dönemin gerçekliğini yansıtan unsurlara ve/veya şiirin dönemin gerçekliğiyle ilişkisine değinilir. b. Bazı metinlerde ise içeriğin/göstergelerin genel anlamda doğal, toplumsal veya bireysel gerçeklikle ilişkisi üzerinde durulur. c. Bu hususlar değerler eğitimi çerçevesinde ele alınır.","Kazanımın odağı, öğrencinin şiirde millî, manevi ve evrensel değerler ile sosyal, siyasi, tarihî ve mitolojik ögeleri belirler. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirde; mill; manevi; evrensel; değerler; sosyal; siyasi; tarih
turk_dili_ve_edebiyati-ort-A_1_8,8,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.8,"Şiirde edebiyat, sanat ve fikir akımlarının/anlayışlarının yansımalarını değerlendirir.","a. Bu kazanım 10, 11 ve 12. sınıf düzeylerinde ele alınacaktır. b. Şiirin, bağlı olduğu edebî dönem, akım, gelenek, topluluk vb. açısından değerlendirilmesi ve/veya şiirde görülen edebî, felsefi, estetik anlayışı; diğer metinler veya yazarlarla bağlantılarının/etkileşimlerinin belirlenmesi sağlanır. c. Şiirin aynı, benzer veya farklı anlayıştaki şiirlerle karşılaştırılması sağlanır.","Kazanımın odağı, öğrencinin şiirde edebiyat, sanat ve fikir akımlarının/anlayışlarının yansımalarını değerlendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiirde; edebiyat; sanat; fikir; akımlarının; anlayışlarının; yansımalarını
turk_dili_ve_edebiyati-ort-A_1_9,9,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.9,Şiiri yorumlar.,"a. Şiirdeki açık ve örtük iletileri; şiirle ilgili tespitlerini, eleştirilerini, güncellemelerini ve beğenisini metne dayanarak/gerekçelendirerek kazanımlar çerçevesinde ifade etmesi sağlanır.","Kazanımın odağı, öğrencinin şiiri yorumlar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şiiri
turk_dili_ve_edebiyati-ort-A_1_10,10,TÜRK DİLİ VE EDEBİYATI,,,,1. ŞİİR,A.1.10,Şair ile şiir arasındaki ilişkiyi değerlendirir.,"a. Bu kazanım ele alınırken şiirin, şairin hayatı ve görüşleriyle ilişkisi üzerinde durulur. b. Şiirin şairin ünlü eserlerinden biri olması, şairin tanınmasına katkısı, şiirin edebiyat ve/veya toplum hayatındaki akisleri vb. hususlar üzerinde durulur (Örnekler: Necip Fazıl'ın ""Kaldırımlar Şairi"", ""İstiklâl Marşı""nın millî marş, Mehmet Âkif'in ise bu vesileyle ""millî şair"" olarak anılması; Vesilet'ün Necat'ın mevlit türünün sembol eseri olup halk arasında bir geleneğe vesile olması). Bu hususların metne ve şaire göre farklılık göstereceği belirtilir.","Kazanımın odağı, öğrencinin şair ile şiir arasındaki ilişkiyi değerlendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",şair; şiir; arasındaki; ilişkiyi
