id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
fizik-ort-12_7_1_1,1,FİZİK,,,,,12.7.1.1,Merkezi ve yarıçapı verilen çemberin denklemini oluşturur.,"a) 𝑀𝑀(𝑎𝑎, 𝑏𝑏) merkezli ve 𝑟𝑟 yarıçaplı çemberin standart denklemi (𝑥𝑥 − 𝑎𝑎)2 + (𝑦𝑦 − 𝑏𝑏)2 = 𝑟𝑟 2 yardımıyla çemberin genel denklemi 𝑥𝑥 2 + 𝑦𝑦 2 + 𝐷𝐷𝐷𝐷 + 𝐸𝐸𝐸𝐸 + 𝐹𝐹 = 0 şeklinde elde edilir. b) 𝐴𝐴𝑥𝑥 2 + 𝐵𝐵𝑦𝑦 2 + 𝐷𝐷𝐷𝐷 + 𝐸𝐸𝐸𝐸 + 𝐹𝐹 = 0 denkleminin hangi durumlarda çember oluşturduğu gösterilir. c) Bilgi ve iletişim teknolojilerinden yararlanılır.","Kazanımın odağı, öğrencinin merkezi ve yarıçapı verilen çemberin denklemini oluşturur. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",merkezi; yarıçapı; çemberin; denklemini; oluşturur
fizik-ort-12_7_1_2,2,FİZİK,,,,,12.7.1.2,Denklemleri verilen doğru ile çemberin birbirine göre durumlarını belirleyerek işlemler yapar.,a) Doğru ile çemberin varsa kesişim noktaları bulunur. b) Bilgi ve iletişim teknolojilerinden yararlanılır. ORTAÖĞRETİM 11 VE 12. SINIFLAR TEMEL DÜZEY MATEMATİK DERSİ ÖĞRETİM PROGRAMI,"Kazanımın odağı, öğrencinin denklemleri verilen doğru ile çemberin birbirine göre durumlarını belirleyerek işlemler yapar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",denklemleri; doğru; çemberin; birbirine; durumlarını; belirleyerek; işlemler
fizik-9-9_1_1_1,3,FİZİK,9,FİZİK BİLİMİNE GİRİŞ,FİZİK BİLİMİNİN ÖNEMİ,,9.1.1.1,Evrendeki olayların anlaşılmasında fizik biliminin önemini açıklar.,Fiziğin evren ve evrendeki olayların anlaşılması ve açıklanmasındaki rolü üzerinde durulur.,"Kazanımın odağı, öğrencinin evrendeki olayların anlaşılmasında fizik biliminin önemini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",fi̇zi̇k; bi̇li̇mi̇ni̇n; önemi̇; evrendeki; olayların; anlaşılmasında; fizik; biliminin
fizik-9-9_1_2_1,4,FİZİK,9,FİZİK BİLİMİNE GİRİŞ,FİZİĞİN UYGULAMA ALANLARI,,9.1.2.1,"Fiziğin uygulama alanlarını, alt dalları ve diğer disiplinlerle ilişkilendirir.","a) Fiziğin mekanik, termodinamik, elektromanyetizma, optik, katıhal fiziği, atom fiziği, nükleer fizik, yüksek enerji ve plazma fiziği alt dalları, uygulama alanlarından örneklerle açıklanır. Alt dallar ile ilgili mesleklere örnekler verilir. b) Fiziğin felsefe, biyoloji, kimya, teknoloji, mühendislik, sanat, spor ve matematik alanları ile olan ilişkisine günlük hayattan örnekler verilir.","Kazanımın odağı, öğrencinin fiziğin uygulama alanlarını, alt dalları ve diğer disiplinlerle ilişkilendirir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",fi̇zi̇ği̇n; uygulama; alanlari; fiziğin; alanlarını; dalları; diğer; disiplinlerle
fizik-9-9_1_3_1,5,FİZİK,9,FİZİK BİLİMİNE GİRİŞ,FİZİKSEL NİCELİKLERİN SINIFLANDIRILMASI,,9.1.3.1,Fiziksel nicelikleri sınıflandırır.,"a) Niceliklerin temel ve türetilmiş olarak tanımlanması ve sınıflandırılması sağlanır. b) Temel büyüklüklerin birimleri SI birim sisteminde tanıtılır. Türetilmiş büyüklükler için fen bilimleri dersinde geçmiş konulardan örnekler verilir. c) Niceliklerin skaler ve vektörel olarak tanımlanması ve sınıflandırılması sağlanır. ç) Vektörlerde toplama işlemlerinin tek boyutta yapılması sağlanır. Skaler ve vektörel niceliklerde toplama işlemlerine (tek boyutta) günlük hayattan örnekler verilerek, karşılaştırma yapılması sağlanır.","Kazanımın odağı, öğrencinin fiziksel nicelikleri sınıflandırır. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",fi̇zi̇ksel; ni̇celi̇kleri̇n; siniflandirilmasi; fiziksel; nicelikleri; sınıflandırır; fi̇zi̇k; bi̇li̇mi̇ne
fizik-9-9_1_4_1,6,FİZİK,9,FİZİK BİLİMİNE GİRİŞ,BİLİM ARAŞTIRMA MERKEZLERİ,,9.1.4.1,Bilim araştırma merkezlerinin fizik bilimi için önemini açıklar.,"a) Bilim araştırma merkezleri TÜBİTAK, TAEK, ASELSAN, CERN, NASA ve ESA ile sınırlandırılır. b) Bilimsel araştırmalarda etik ilkelere uymanın önemi vurgulanır.","Kazanımın odağı, öğrencinin bilim araştırma merkezlerinin fizik bilimi için önemini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",bi̇li̇m; araştirma; merkezleri̇; bilim; araştırma; merkezlerinin; fizik; bilimi
fizik-9-9_2_1_1,7,FİZİK,9,MADDE VE ÖZELLİKLERİ,MADDE VE ÖZKÜTLE,,9.2.1.1,"Özkütleyi, kütle ve hacimle ilişkilendirerek açıklar.","a) Kütle ve hacim kavramlarına değinilir. Kütle (mg, g, kg ve ton) ve hacim (mL, L, cm3, dm3, m3) için anlamlı birim dönüşümleri yapılır. Dönüşümler yapılırken bilişim teknolojilerinden faydalanılabileceği belirtilir. b) Düzgün geometrik şekilli cisimlerden küp, dikdörtgenler prizması, silindir, küre ve şekli düzgün olmayan cisimler için hacim hesaplamaları yapılır. Kum-su problemlerine girilmez. c) Sabit sıcaklık ve basınçta ölçüm yapılarak kütle-hacim grafiğinin çizilmesi; kütle, hacim ve özkütle kavramları arasındaki matematiksel modelin çıkarılması sağlanır. Matematiksel hesaplamalar yapılır. ç) Kütle-özkütle, hacim-özkütle grafiklerinin çizilmesi ve yorumlanması sağlanır. d) Eşit kollu terazi ile ilgili matematiksel hesaplamalara girilmez. e) Karışımların özkütlelerine değinilir. Matematiksel hesaplamalara girilmez. f) Archimedes ve el-Hazini’nin özkütle ile ilgili yaptığı çalışmalar hakkında kısaca bilgi verilir.","Kazanımın odağı, öğrencinin özkütleyi, kütle ve hacimle ilişkilendirerek açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",madde; özkütle; özkütleyi; kütle; hacimle; ilişkilendirerek; özelli̇kleri̇
fizik-9-9_2_1_2,8,FİZİK,9,MADDE VE ÖZELLİKLERİ,MADDE VE ÖZKÜTLE,,9.2.1.2,Günlük hayatta saf maddelerin ve karışımların özkütlelerinden faydalanılan durumlara örnekler verir.,"Kuyumculuk, porselen yapımı, ebru yapımı gibi özkütleden faydalanılan çalışma alanlarına değinilir.","Kazanımın odağı, öğrencinin günlük hayatta saf maddelerin ve karışımların özkütlelerinden faydalanılan durumlara örnekler verir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",madde; özkütle; günlük; hayatta; maddelerin; karışımların; özkütlelerinden; faydalanılan
fizik-9-9_2_2_1,9,FİZİK,9,MADDE VE ÖZELLİKLERİ,DAYANIKLILIK,,9.2.2.1,Dayanıklılık kavramını açıklar.,"Düzgün geometrik şekilli cisimlerden küp, dikdörtgenler prizması, silindir ve kürenin kesit alanının hacme oranı dışında dayanıklılık kavramı ile ilgili matematiksel hesaplamalara girilmez.","Kazanımın odağı, öğrencinin dayanıklılık kavramını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",dayaniklilik; dayanıklılık; kavramını; madde; özelli̇kleri̇
fizik-9-9_2_3_1,10,FİZİK,9,MADDE VE ÖZELLİKLERİ,YAPIŞMA VE BİRBİRİNİ TUTMA,,9.2.3.1,Yapışma (adezyon) ve birbirini tutma (kohezyon) olaylarını örneklerle açıklar.,"a) Yüzey gerilimi ve kılcallık olayının yapışma ve birbirini tutma olayları ile açıklanması ve günlük hayattan örnekler verilmesi sağlanır. b) Yüzey gerilimini etkileyen faktörlerin, günlük hayattaki örnekler ile açıklanması sağlanır. c) Adezyon, kohezyon, yüzey gerilimi ve kılcallık ile ilgili matematiksel hesaplamalara girilmez.","Kazanımın odağı, öğrencinin yapışma (adezyon) ve birbirini tutma (kohezyon) olaylarını örneklerle açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",yapişma; bi̇rbi̇ri̇ni̇; tutma; yapışma; adezyon; birbirini; kohezyon; olaylarını
