id,sira,ders,sinif,unite,konu,baslik,kazanim_kodu,kazanim,aciklama,yorum,etiketler
kimya-ort-12_4_3_4,1,KİMYA,,,,,12.4.3.4,Radyasyonun canlılar üzerindeki etkilerini açıklar.,"a) Yaşam alanlarında var olan radyasyon kaynakları, radyasyondan korunma yolları ve radyasyon güvenliğinin araştırılması ve bilgilerin paylaşılması sağlanır. b) İyonlaştırıcı radyasyona değinilerek kullanıldığı alanlardan ve biyolojik etkilerinden bahsedilir.","Kazanımın odağı, öğrencinin radyasyonun canlılar üzerindeki etkilerini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",radyasyonun; canlılar; üzerindeki; etkilerini
kimya-ort-12_5_1_1,2,KİMYA,,MODERN FİZİK,ÖZEL GÖRELİLİK,,12.5.1.1,Michelson–Morley deneyinin amacını ve sonuçlarını açıklar.,a) Deneyin yapılış aşamaları üzerinde durulur. b) Deneyin farklı bilim insanları tarafından farklı koşullarda çok kez tekrarlanmış olmasının nedeni üzerinde durulur. Bilimsel çalışmalarda sabırlı ve kararlı olmanın önemi vurgulanır. c) Matematiksel hesaplamalara girilmez.,"Kazanımın odağı, öğrencinin michelson–Morley deneyinin amacını ve sonuçlarını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",özel; göreli̇li̇k; michelson; morley; deneyinin; amacını; sonuçlarını; modern
kimya-ort-12_5_1_2,3,KİMYA,,MODERN FİZİK,ÖZEL GÖRELİLİK,,12.5.1.2,Einstein’ın özel görelilik teorisinin temel postülalarını ifade eder.,,"Kazanımın odağı, öğrencinin einstein’ın özel görelilik teorisinin temel postülalarını ifade eder. hedefidir.",özel; göreli̇li̇k; einstein’ın; görelilik; teorisinin; temel; postülalarını; ifade
kimya-ort-12_5_1_3,4,KİMYA,,MODERN FİZİK,ÖZEL GÖRELİLİK,,12.5.1.3,Göreli zaman ve göreli uzunluk kavramlarını açıklar.,Özel görelilikte matematiksel hesaplamalara girilmez.,"Kazanımın odağı, öğrencinin göreli zaman ve göreli uzunluk kavramlarını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",özel; göreli̇li̇k; göreli; zaman; uzunluk; kavramlarını; modern; fi̇zi̇k
kimya-ort-12_5_1_4,5,KİMYA,,MODERN FİZİK,ÖZEL GÖRELİLİK,,12.5.1.4,Kütle-enerji eşdeğerliğini açıklar.,Matematiksel hesaplamalara girilmez.,"Kazanımın odağı, öğrencinin kütle-enerji eşdeğerliğini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",özel; göreli̇li̇k; kütle-enerji; eşdeğerliğini; modern; fi̇zi̇k
kimya-ort-12_5_2_1,6,KİMYA,,MODERN FİZİK,KUANTUM FİZİĞİNE GİRİŞ,,12.5.2.1,Siyah cisim ışımasını açıklar.,a) Planck hipotezi açıklanır. b) Dalga boyu-ışıma şiddeti grafiğinden hareketle klasik yaklaşımla modern yaklaşımın çelişkisi ve bu çelişkinin kuantum fiziğinin doğuşuna etkisi vurgulanır. c) Siyah cisim ışıması ile ilgili matematiksel hesaplamalara girilmez.,"Kazanımın odağı, öğrencinin siyah cisim ışımasını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",kuantum; fi̇zi̇ği̇ne; gi̇ri̇ş; siyah; cisim; ışımasını; modern; fi̇zi̇k
kimya-ort-12_5_3_1,7,KİMYA,,MODERN FİZİK,FOTOELEKTRİK OLAYI,,12.5.3.1,Foton kavramını açıklar.,,"Kazanımın odağı, öğrencinin foton kavramını açıklar. hedefidir.",fotoelektri̇k; olayi; foton; kavramını; modern; fi̇zi̇k
kimya-ort-12_5_3_2,8,KİMYA,,MODERN FİZİK,FOTOELEKTRİK OLAYI,,12.5.3.2,Fotoelektrik olayını açıklar.,a) Hertz’in çalışmaları üzerinde durulur. b) Einstein’ın fotoelektrik denklemi üzerinde durulur. c) Öğrencilerin simülasyonlar yardımıyla fotoelektrik olaya etki eden değişkenleri gözlemlemeleri ve yorumlamaları sağlanır.,"Kazanımın odağı, öğrencinin fotoelektrik olayını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",fotoelektri̇k; olayi; fotoelektrik; olayını; modern; fi̇zi̇k
kimya-ort-12_5_3_3,9,KİMYA,,MODERN FİZİK,FOTOELEKTRİK OLAYI,,12.5.3.3,Farklı metaller için maksimum kinetik enerji-frekans grafiğini çizer.,,"Kazanımın odağı, öğrencinin farklı metaller için maksimum kinetik enerji-frekans grafiğini çizer. hedefidir.",fotoelektri̇k; olayi; farklı; metaller; maksimum; kinetik; enerji-frekans; grafiğini
kimya-ort-12_5_3_4,10,KİMYA,,MODERN FİZİK,FOTOELEKTRİK OLAYI,,12.5.3.4,"Fotoelektronların sahip olduğu maksimum kinetik enerji, durdurma gerilimi ve metalin eşik enerjisi arasındaki matematiksel ilişkiyi açıklar.",,"Kazanımın odağı, öğrencinin fotoelektronların sahip olduğu maksimum kinetik enerji, durdurma gerilimi ve metalin eşik enerjisi arasındaki matematiksel ilişkiyi açıklar. hedefidir.",fotoelektri̇k; olayi; fotoelektronların; sahip; olduğu; maksimum; kinetik; enerji
kimya-ort-12_5_3_5,11,KİMYA,,MODERN FİZİK,FOTOELEKTRİK OLAYI,,12.5.3.5,Fotoelektrik olayın günlük hayattaki uygulamalarına örnekler verir.,Fotoelektrik olayın günlük hayattaki olumlu (musluklarda hijyenin sağlanması gibi) ve olumsuz (sahte güneş gözlüklerinin kullanımı gibi) etkileri üzerinde durulur.,"Kazanımın odağı, öğrencinin fotoelektrik olayın günlük hayattaki uygulamalarına örnekler verir. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",fotoelektri̇k; olayi; fotoelektrik; olayın; günlük; hayattaki; uygulamalarına; verir
kimya-ort-12_5_3_6,12,KİMYA,,MODERN FİZİK,FOTOELEKTRİK OLAYI,,12.5.3.6,Fotoelektrik olayla ilgili hesaplamalar yapar.,,"Kazanımın odağı, öğrencinin fotoelektrik olayla ilgili hesaplamalar yapar. hedefidir.",fotoelektri̇k; olayi; fotoelektrik; olayla; hesaplamalar; modern; fi̇zi̇k
kimya-ort-12_5_4_1,13,KİMYA,,MODERN FİZİK,COMPTON SAÇILMASI VE DE BROGLİE DALGA BOYU,,12.5.4.1,Compton olayında foton ve elektron etkileşimini açıklar.,Öğrencilerin model veya simülasyonlar kullanarak Compton saçılmasını açıklamaları sağlanır. Matematiksel hesaplamalara girilmez.,"Kazanımın odağı, öğrencinin compton olayında foton ve elektron etkileşimini açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",compton; saçilmasi; brogli̇e; dalga; boyu; olayında; foton; elektron
kimya-ort-12_5_4_2,14,KİMYA,,MODERN FİZİK,COMPTON SAÇILMASI VE DE BROGLİE DALGA BOYU,,12.5.4.2,Compton ve fotoelektrik olaylarının benzer yönlerini belirterek ışığın tanecik doğası hakkında çıkarım yapar.,,"Kazanımın odağı, öğrencinin compton ve fotoelektrik olaylarının benzer yönlerini belirterek ışığın tanecik doğası hakkında çıkarım yapar. hedefidir.",compton; saçilmasi; brogli̇e; dalga; boyu; fotoelektrik; olaylarının; benzer
kimya-ort-12_5_4_3,15,KİMYA,,MODERN FİZİK,COMPTON SAÇILMASI VE DE BROGLİE DALGA BOYU,,12.5.4.3,Işığın ikili doğasını açıklar.,"Işığın tanecik, dalga, hem tanecik hem de dalga doğası ile açıklanan olaylar vurgulanır.","Kazanımın odağı, öğrencinin işığın ikili doğasını açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",compton; saçilmasi; brogli̇e; dalga; boyu; işığın; ikili; doğasını
kimya-ort-12_5_4_4,16,KİMYA,,MODERN FİZİK,COMPTON SAÇILMASI VE DE BROGLİE DALGA BOYU,,12.5.4.4,Madde ve dalga arasındaki ilişkiyi açıklar.,a) De Broglie bağıntısı verilir. b) Matematiksel hesaplamalara girilmez.,"Kazanımın odağı, öğrencinin madde ve dalga arasındaki ilişkiyi açıklar. hedefidir. Açıklamada belirtilen kapsam ve sınırlar soru ve etkinliklerde esas alınır.",compton; saçilmasi; brogli̇e; dalga; boyu; madde; arasındaki; ilişkiyi
